GROUPE;MOT;REMPLACE;REMARQUES;;;;;;;;;;;
Adverbes;tant;;;;;;;;;;;;;
Adverbes;tant bien que mal;;;;;;;;;;;;;
Adverbes;tantôt;;;;;;;;;;;;;
Adverbes;tard;;;;;;;;;;;;;
Adverbes;tellement;;;;;;;;;;;;;
Adverbes;tôt;;;;;;;;;;;;;
Adverbes;toujours;;;;;;;;;;;;;
Adverbes;tout;;;;;;;;;;;;;
Adverbes;tout à coup;;;;;;;;;;;;;
Adverbes;tout de suite;;;;;;;;;;;;;
Adverbes;très;;;;;;;;;;;;;
Adverbes;trop;;;;;;;;;;;;;
Adverbes;vis-à-vis;;;;;;;;;;;;;
Adverbes;vite;;;;;;;;;;;;;
Adverbes;volontiers;;;;;;;;;;;;;
Adverbes;vraiment;;;;;;;;;;;;;
Articles définis;au;;;;;;;;;;;;;
Articles définis;aux;;;;;;;;;;;;;
Articles définis;l;;;;;;;;;;;;;
Articles définis;la;;;;;;;;;;;;;
Articles définis;le;;;;;;;;;;;;;
Articles définis;les;;;;;;;;;;;;;
Articles indéfinis;des;;;;;;;;;;;;;
Articles indéfinis;un;;;;;;;;;;;;;
Articles indéfinis;une;;;;;;;;;;;;;
Articles partitifs;de;;;;;;;;;;;;;
Articles partitifs;des;;;;;;;;;;;;;
Articles partitifs;du;;;;;;;;;;;;;
Auxiliaires;a;;;;;;;;;;;;;
Auxiliaires;ai;;;;;;;;;;;;;
Auxiliaires;aie;;;;;;;;;;;;;
Auxiliaires;aient;;;;;;;;;;;;;
Auxiliaires;aies;;;;;;;;;;;;;
Auxiliaires;aille;;;;;;;;;;;;;
Auxiliaires;aillent;;;;;;;;;;;;;
Auxiliaires;ailles;;;;;;;;;;;;;
Auxiliaires;ait;;;;;;;;;;;;;
Auxiliaires;alla;;;;;;;;;;;;;
Auxiliaires;allai;;;;;;;;;;;;;
Auxiliaires;allaient;;;;;;;;;;;;;
Auxiliaires;allais;;;;;;;;;;;;;
Auxiliaires;allait;;;;;;;;;;;;;
Auxiliaires;allâmes;;;;;;;;;;;;;
Auxiliaires;allas;;;;;;;;;;;;;
Auxiliaires;allasse;;;;;;;;;;;;;
Auxiliaires;allassent;;;;;;;;;;;;;
Auxiliaires;allasses;;;;;;;;;;;;;
Auxiliaires;allassiez;;;;;;;;;;;;;
Auxiliaires;allassions;;;;;;;;;;;;;
Auxiliaires;allât;;;;;;;;;;;;;
Auxiliaires;allâtes;;;;;;;;;;;;;
Auxiliaires;allé;;;;;;;;;;;;;
Auxiliaires;aller;;;;;;;;;;;;;
Auxiliaires;allèrent;;;;;;;;;;;;;
Auxiliaires;allez;;;;;;;;;;;;;
Auxiliaires;alliez;;;;;;;;;;;;;
Auxiliaires;allions;;;;;;;;;;;;;
Auxiliaires;allons;;;;;;;;;;;;;
Auxiliaires;as;;;;;;;;;;;;;
Auxiliaires;aurai;;;;;;;;;;;;;
Auxiliaires;auraient;;;;;;;;;;;;;
Auxiliaires;aurais;;;;;;;;;;;;;
Auxiliaires;aurait;;;;;;;;;;;;;
Auxiliaires;auras;;;;;;;;;;;;;
Auxiliaires;aurez;;;;;;;;;;;;;
Auxiliaires;auriez;;;;;;;;;;;;;
Auxiliaires;aurions;;;;;;;;;;;;;
Auxiliaires;aurons;;;;;;;;;;;;;
Auxiliaires;auront;;;;;;;;;;;;;
Auxiliaires;avaient;;;;;;;;;;;;;
Auxiliaires;avais;;;;;;;;;;;;;
Auxiliaires;avait;;;;;;;;;;;;;
Auxiliaires;avez;;;;;;;;;;;;;
Auxiliaires;aviez;;;;;;;;;;;;;
Auxiliaires;avions;;;;;;;;;;;;;
Auxiliaires;avoir;;;;;;;;;;;;;
Auxiliaires;avons;;;;;;;;;;;;;
Auxiliaires;ayant;;;;;;;;;;;;;
Auxiliaires;ayez;;;;;;;;;;;;;
Auxiliaires;ayons;;;;;;;;;;;;;
Auxiliaires;es;;;;;;;;;;;;;
Auxiliaires;est;;;;;;;;;;;;;
Auxiliaires;étaient;;;;;;;;;;;;;
Auxiliaires;étais;;;;;;;;;;;;;
Auxiliaires;était;;;;;;;;;;;;;
Auxiliaires;étant;;;;;;;;;;;;;
Auxiliaires;été;;;;;;;;;;;;;
Auxiliaires;êtes;;;;;;;;;;;;;
Auxiliaires;étiez;;;;;;;;;;;;;
Auxiliaires;étions;;;;;;;;;;;;;
Auxiliaires;être;;;;;;;;;;;;;
Auxiliaires;eu;;;;;;;;;;;;;
Auxiliaires;eûmes;;;;;;;;;;;;;
Auxiliaires;eurent;;;;;;;;;;;;;
Auxiliaires;eus;;;;;;;;;;;;;
Auxiliaires;eusse;;;;;;;;;;;;;
Auxiliaires;eussent;;;;;;;;;;;;;
Auxiliaires;eusses;;;;;;;;;;;;;
Auxiliaires;eussiez;;;;;;;;;;;;;
Auxiliaires;eussions;;;;;;;;;;;;;
Auxiliaires;eut;;;;;;;;;;;;;
Auxiliaires;eût;;;;;;;;;;;;;
Auxiliaires;eûtes;;;;;;;;;;;;;
Auxiliaires;fûmes;;;;;;;;;;;;;
Auxiliaires;furent;;;;;;;;;;;;;
Auxiliaires;fus;;;;;;;;;;;;;
Auxiliaires;fusse;;;;;;;;;;;;;
Auxiliaires;fussent;;;;;;;;;;;;;
Auxiliaires;fusses;;;;;;;;;;;;;
Auxiliaires;fussiez;;;;;;;;;;;;;
Auxiliaires;fussions;;;;;;;;;;;;;
Auxiliaires;fut;;;;;;;;;;;;;
Auxiliaires;fût;;;;;;;;;;;;;
Auxiliaires;fûtes;;;;;;;;;;;;;
Auxiliaires;irai;;;;;;;;;;;;;
Auxiliaires;iraient;;;;;;;;;;;;;
